Year,Month,Domestic Debt,External Debt,Total,Domestic Interest,Foreign Interest,Nominal GDP,Annual GDP growth (%),Date,Domestic Interest Rate (%),External Interest Rate (%),Debt-to-GDP Ratio (%),Domestic Debt Composition,External Debt Composition
2000,3,201463.22,396800.0,598263.22,15784.0,6039.0,967838.0,0.0,2000-03-01,7.834680692584979,1.5219254032258065,61.81439662422843,33.67467918218339,66.32532081781662
2000,6,206127.0,395694.0,601821.0,20752.0,8635.0,967838.0,0.0,2000-06-01,10.067579696012652,2.1822418333358606,62.18199740039139,34.25054958201857,65.74945041798142
2000,7,202362.0,394667.37,597029.37,2739.0,746.0,967838.0,0.0,2000-07-01,1.3535149879918167,0.18901993341886866,61.6869114459238,33.89481492342663,66.10518507657336
2000,8,196584.0,395710.06,592294.06,4298.0,1060.0,967838.0,0.0,2000-08-01,2.186342733894925,0.26787289663548103,61.19764464714137,33.19027038697636,66.80972961302362
2000,9,195520.0,399798.72,595318.72,6682.0,1497.0,967838.0,0.0,2000-09-01,3.4175531914893615,0.3744384174116416,61.510161824602875,32.842911440782515,67.1570885592175
2000,10,195564.0,400203.03,595767.03,8659.0,1934.0,967838.0,0.0,2000-10-01,4.4277065308543495,0.4832547119895619,61.556482593161256,32.82558284569725,67.17441715430274
2000,11,195906.0,400714.45,596620.45,9603.0,2056.0,967838.0,0.0,2000-11-01,4.901840678692842,0.5130835686110147,61.64466057336041,32.83595123164149,67.16404876835853
2000,12,192665.3,405355.31,598020.61,11302.0,2232.0,967838.0,0.0,2000-12-01,5.866131576365854,0.5506280403727781,61.78932941256697,32.21716723107587,67.78283276892414
2001,1,193332.95,403645.68,596978.63,13606.0,2915.0,1020022.0,3.8,2001-01-01,7.037600160758939,0.722168016266147,58.52605434000443,32.38523797744653,67.61476202255346
2001,2,199537.27,402555.4,602092.67,14901.0,3293.0,1020022.0,3.8,2001-02-01,7.467777824162875,0.8180240533352676,59.0274199968236,33.14062434940455,66.85937565059544
2001,3,200622.58,403373.54,603996.12,16906.0,3727.0,1020022.0,3.8,2001-03-01,8.426768312918716,0.9239574811972051,59.21402871702767,33.21587231388175,66.78412768611824
